"species_id","common_name","scientific_name","species_num_cd"
"BAWM","Blue-and-white Mockingbird","Melanotis hypoleucus",NA
"BAWO","Bahama Woodstar","Calliphlox evelynae",437.1
"BAWS","Blue-and-white Swallow","Pygochelidon cyanoleuca",NA
"BAWW","Black-and-white Warbler","Mniotilta varia",636
"BAYE","Bahama Yellowthroat","Geothlypis rostrata",914.5
"BAYM","Blue-and-yellow Macaw","Ara ararauna",NA
"BAYS","Black-and-yellow Silky-flycatcher","Phainoptila melanoxantha",NA
"BAYT","Black-and-yellow Tanager","Chrysothlypis chrysomelas",NA
"BAYW","Bay Wren","Thryothorus nigricapillus",NA
"BBAL","Black-browed Albatross","Thalassarche melanophris",82.2
"BBCU","Black-billed Cuckoo","Coccyzus erythropthalmus",388
"BBEH","Buff-bellied Hummingbird","Amazilia yucatanensis",NA
"BBEW","Black-bellied Wren","Thryothorus fasciatoventris",NA
"BBFL","Buff-breasted Flycatcher","Empidonax fulvifrons",470
"BBHE","Boat-billed Heron","Cochlearius cochlearius",NA
"BBIH","Broad-billed Hummingbird","Cynanthus latirostris",NA
"BBIS","Broad-billed Sandpiper","Limicola falcinellus",NA
"BBLH","Broad-billed Hummingbird","Cynanthus latirostris",441
"BBMA","Black-billed Magpie","Pica hudsonia",475
"BBMO","Broad-billed Motmot","Electron platyrhynchum",NA
"BBNT","Black-billed Nightingale-Thrush","Catharus gracilirostris",NA
"BBNW","Black-banded Woodcreeper","Dendrocolaptes picumnus",NA
"BBOH","Bullock's x Baltimore Oriole Hybrid","Icterus bullockii  x galb.",507.8
"BBOR","Black-backed Oriole","Icterus abeillei",NA
"BBPA","Black-billed Parrot","Amazona agilis",NA
"BBPL","Black-bellied Plover","Pluvialis squatarola",270
"BBPU","Black-breasted Puffbird","Notharchus pectoralis",NA
"BBRC","Bay-breasted Cuckoo","Coccyzus rufigularis",NA
"BBRW","Buff-breasted Wren","Thryothorus leucotis",NA
"BBSA","Buff-breasted Sandpiper","Tryngites subruficollis",262
"BBSC","Brown-billed Scythebill","Campylorhamphus pusillus",NA
"BBSO","Brown-backed Solitaire","Myadestes occidentalis",NA
"BBSP","Black-bellied Storm-Petrel","Fregetta tropica",NA
"BBTO","Broad-billed Tody","Todus subulatus",NA
"BBWA","Bay-breasted Warbler","Dendroica castanea",660
"BBWD","Black-bellied Whistling-Duck","Dendrocygna autumnalis",177
"BBWO","Black-backed Woodpecker","Picoides arcticus",400
"BBWQ","Black-breasted Wood-Quail","Odontophorus leucolaemus",NA
"BCAF","Black-capped Flycatcher","Empidonax atriceps",NA
"BCAH","Blue-capped Hummingbird","Eupherusa cyanophrys",NA
"BCAT","Black-cheeked Ant-Tanager","Habia atrimaxillaris",NA
"BCAV","Brown-capped Vireo","Vireo leucophrys",NA
"BCCH","Black-capped Chickadee","Poecile atricapillus",735
"BCCO","Black-crested Coquette","Lophornis helenae",NA
"BCDO","Black-capped Donacobius","Donacobius atricapilla",NA
"BCFL","Brown-crested Flycatcher","Myiarchus tyrannulus",453
"BCGN","Black-capped Gnatcatcher","Polioptila nigriceps",753.1
"BCHA","Black-collared Hawk","Busarellus nigricollis",NA
"BCHH","Blue-chested Hummingbird","Amazilia amabilis",NA
"BCHJ","Black-chested Jay","Cyanocorax affinis",NA
"BCHS","Black-chested Sparrow","Aimophila humeralis",NA
"BCHU","Black-chinned Hummingbird","Archilochus alexandri",429
"BCMA","Brown-chested Martin","Progne tapera",NA
"BCMO","Blue-crowned Motmot","Momotus momota",NA
"BCNA","Black-crowned Antpitta","Pittasoma michleri",NA
"BCNH","Black-crowned Night-Heron","Nycticorax nycticorax",202
"BCNI","Buff-collared Nightjar","Caprimulgus ridgwayi",416.1
"BCOF","Bran-colored Flycatcher","Myiophobus fasciatus",NA
"BCOR","Black-cowled Oriole","Icterus prosthemelas",504.2
"BCPE","Black-capped Petrel","Pterodroma hasitata",98
"BCRC","Blue-crowned Chlorophonia","Chlorophonia occipitalis",NA
"BCRF","Brown-capped Rosy-Finch","Leucosticte australis",526
"BCRJ","Bushy-crested Jay","Cyanocorax melanocyaneus",NA
"BCRM","Blue-crowned Manakin","Pipra coronata",NA
"BCRT","Black-crowned Tityra","Tityra inquisitor",NA
"BCSI","Black-capped Siskin","Carduelis atriceps",NA
"BCSP","Black-chinned Sparrow","Spizella atrogularis",565
"BCSW","Black-capped Swallow","Notiochelidon pileata",NA
"BCTI","Black-crested Titmouse","Baeolophus atricristatus",732
"BCTY","Brown-capped Tyrannulet","Ornithion brunneicapillus",NA
"BCVI","Black-capped Vireo","Vireo atricapilla",630
"BCWA","Black-cheeked Warbler","Basileuterus melanogenys",NA
"BCWO","Black-cheeked Woodpecker","Melanerpes pucherani",NA
"BCWP","Buffy-crowned Wood-Partridge","Dendrortyx leucophrys",NA
"BEAH","Beautiful Hummingbird","Calothorax pulcher",NA
"BEEH","Bee Hummingbird","Mellisuga helenae",NA
"BEFL","Belted Flycatcher","Xenotriccus callizonus",NA
"BEGO","Bean Goose","Anser fabalis",171.1
"BEGU","Belcher's Gull","Larus belcheri",NA
"BEHU","Berylline Hummingbird","Amazilia beryllina",438.1
"BEKI","Belted Kingfisher","Ceryle alcyon",390
"BEPE","Bermuda Petrel","Pterodroma cahow",98.1
"BERO","Bare-eyed Robin","Turdus nudigenis",NA
"BESO","Bearded Screech-Owl","Megascops barbarus",NA
